jahr_an_anno,plz_npa,ga_ag,ga_ag_flag,hta_adt_meta_prezzo,hta_adt_meta_prezzo_flag,bevolkerung,anteil_ga_besitzer,anteil_hta_besitzer_
2012,1665,9.941908713692946,1.0,41.0,,390.0,2.5492073624853706,10.512820512820511
2012,1670,51.0,,163.0,,1455.0,3.505154639175258,11.202749140893472
2012,1673,64.0,,233.0,,1844.0,3.470715835140998,12.635574837310196
2012,1675,39.0,,115.0,,795.0,4.90566037735849,14.465408805031446
2012,1692,9.941908713692946,1.0,46.0,,453.0,2.194681835252306,10.154525386313466
2012,1694,37.0,,133.0,,1279.0,2.8928850664581702,10.398749022673965
2012,1695,32.0,,140.0,,1189.0,2.6913372582001682,11.774600504625736
2012,1700,3184.0,,10683.0,,36275.0,8.777394900068918,29.450034458993798
2012,1724,91.0,,451.0,,3461.0,2.6292978907830107,13.030915920254262
2012,1735,37.0,,257.0,,1439.0,2.571230020847811,17.859624739402364
2012,1742,21.0,,93.0,,666.0,3.1531531531531534,13.963963963963964
2012,1754,60.0,,306.0,,1844.0,3.2537960954446854,16.594360086767896
2012,1756,32.0,,144.0,,905.0,3.5359116022099446,15.91160220994475
2012,1763,154.0,,522.0,,2926.0,5.2631578947368425,17.840054682159945
2012,1772,72.0,,362.0,,2539.0,2.8357621110673494,14.257581725088619
2012,1786,106.0,,353.0,,1642.0,6.455542021924482,21.498172959805117
2012,1800,1140.0,,6020.0,,18597.0,6.130020971124375,32.37081249663924
2012,1804,114.0,,595.0,,2538.0,4.491725768321513,23.443656422379828
2012,1807,217.0,,1806.0,,6095.0,3.5602953240360953,29.63084495488105
2012,1816,26.0,,217.0,,1076.0,2.41635687732342,20.167286245353157
2012,1823,34.0,,285.0,,1319.0,2.577710386656558,21.607278241091734
2012,1833,33.0,,178.0,,398.0,8.29145728643216,44.723618090452256
2012,1882,54.0,,366.0,,1234.0,4.376012965964343,29.659643435980552
2012,1891,9.941908713692946,1.0,134.0,,666.0,1.492779086140082,20.12012012012012
2012,1896,85.0,,542.0,,3836.0,2.21584984358707,14.129301355578727
2012,1898,21.0,,170.0,,939.0,2.236421725239617,18.104366347177848
2012,1899,9.941908713692946,1.0,80.0,,456.0,2.1802431389677515,17.543859649122805
2012,1904,35.0,,234.0,,1863.0,1.878690284487386,12.560386473429952
2012,1905,23.0,,87.0,,796.0,2.8894472361809043,10.92964824120603
2012,1906,34.0,,178.0,,1533.0,2.217873450750163,11.611219830397912
2012,1912,65.0,,328.0,,2183.0,2.9775538250114524,15.025194686211636
2012,1920,764.0,,3231.0,,16717.0,4.570198002033858,19.327630555721722
2012,1921,51.0,,275.0,,1644.0,3.102189781021898,16.72749391727494
